,0.1,timestamp,Qmc,Qhv,Qlv,Qmv,Label
0,0,07/10/2015 07:00,0.497411003,0.389671362,0.174305674,0.242263565,2
1,1,10/10/2015 03:00,0.00420712,0,0.02112796,0.015380769,1
2,2,07/10/2015 04:00,0.012297735,0.014084507,0.017549838,0.014959739,1
3,3,08/10/2015 20:00,0.532038835,0.401408451,0.722780712,0.672280406,3
4,4,10/10/2015 04:00,0.009061489,0.002347418,0.001874255,0.001473607,1
5,5,06/10/2015 02:00,0.022653722,0.03286385,0.07667405,0.063667702,1
6,6,09/10/2015 12:00,0.702588997,0.575117371,0.781223377,0.757802221,3
7,7,06/10/2015 20:00,0.5,0.429577465,0.63298688,0.599784222,3
8,8,09/10/2015 00:00,0.13236246,0.131455399,0.225762481,0.20381822,2
9,9,09/10/2015 20:00,0.500970874,0.542253521,0.619696712,0.597889585,3
10,10,07/10/2015 20:00,0.727508091,0.509389671,0.72925541,0.716935951,3
11,11,09/10/2015 06:00,0.186084142,0.08685446,0.039700119,0.065628125,1
12,12,10/10/2015 07:00,0.660194175,0.551643192,0.263077185,0.34908689,2
13,13,10/10/2015 09:00,0.909061489,0.868544601,0.962003749,0.952357771,4
14,14,07/10/2015 22:00,0.32815534,0.349765258,0.514056909,0.474185569,2
15,15,08/10/2015 10:00,0.764401294,0.692488263,0.800817857,0.791537288,4
16,16,06/10/2015 13:00,0.68381877,0.680751174,0.721758392,0.716528077,3
17,17,06/10/2015 14:00,0.757928803,0.615023474,0.772704038,0.763130888,3
18,18,05/10/2015 12:00,0.477669903,0.478873239,0.691429545,0.644873954,3
19,19,08/10/2015 14:00,0.722977346,0.598591549,0.799795536,0.777169623,3
20,20,07/10/2015 12:00,0.730097087,0.572769953,0.760095417,0.745789695,3
21,21,10/10/2015 22:00,0.383171521,0.424882629,0.632646107,0.580179991,3
22,22,04/10/2015 17:00,0.712944984,0.680751174,0.896064065,0.855862849,4
23,23,09/10/2015 15:00,0.8802589,0.579812207,0.865735219,0.852297248,4
24,24,10/10/2015 21:00,0.490291262,0.41314554,0.607258477,0.577140677,2
25,25,08/10/2015 06:00,0.189967638,0.077464789,0.050945647,0.07425925,1
26,26,09/10/2015 21:00,0.412297735,0.396713615,0.746634861,0.670885743,3
27,27,09/10/2015 19:00,0.698705502,0.624413146,0.833020958,0.800760486,4
28,28,09/10/2015 10:00,0.962459547,0.772300469,0.947009712,0.942450397,4
29,29,05/10/2015 01:00,0.062783172,0.068075117,0.115181462,0.102494606,1
30,30,04/10/2015 02:00,0.017152104,0.03286385,0.054353382,0.045537077,1
31,31,10/10/2015 02:00,0.034951456,0.070422535,0.068836258,0.062351981,1
32,32,06/10/2015 21:00,0.408737864,0.349765258,0.636224229,0.581627283,3
33,33,09/10/2015 17:00,0.899676375,0.819248826,0.942409269,0.932108836,4
34,34,05/10/2015 03:00,0.010032362,0.014084507,0.024194922,0.019722646,1
35,35,06/10/2015 18:00,0.874433657,0.502347418,0.754472653,0.759788958,3
36,36,09/10/2015 02:00,0.039482201,0.025821596,0.067984324,0.059181096,1
37,37,07/10/2015 16:00,0.862459547,0.953051643,0.754131879,0.790418925,4
38,38,05/10/2015 07:00,0.441423948,0.392018779,0.150281138,0.21477817,2
39,39,05/10/2015 05:00,0.051779935,0.002347418,0.007667405,0.012894058,1
40,40,09/10/2015 11:00,0.887702265,0.676056338,0.80115863,0.810654702,4
41,41,09/10/2015 14:00,0.939158576,0.676056338,0.837791787,0.847310668,4
42,42,05/10/2015 02:00,0.03171521,0.039906103,0.048219458,0.043681911,1
43,43,05/10/2015 13:00,0.547572816,0.570422535,0.595842563,0.589100574,3
44,44,09/10/2015 13:00,0.769579288,0.67370892,0.79110581,0.783511394,3
45,45,06/10/2015 08:00,0.713915858,0.598591549,0.526835918,0.564917636,2
46,46,09/10/2015 16:00,0.859223301,0.751173709,0.919577441,0.902939319,4
47,47,06/10/2015 23:00,0.23592233,0.225352113,0.379110581,0.345916004,2
48,48,04/10/2015 20:00,0.460841424,0.429577465,0.556142443,0.534077154,2
49,49,06/10/2015 12:00,0.700323625,0.537558685,0.7345374,0.718646387,3
50,50,09/10/2015 05:00,0.070550162,0.014084507,0.008348952,0.017328035,1
51,51,04/10/2015 16:00,0.487702265,0.624413146,0.789913103,0.733158781,3
52,52,07/10/2015 23:00,0.229773463,0.150234742,0.381666383,0.341416241,2
53,53,04/10/2015 13:00,0.614239482,0.607981221,0.603680354,0.608731119,3
54,54,10/10/2015 05:00,0.062783172,0.016431925,0.01482365,0.021235724,1
55,55,05/10/2015 18:00,0.760194175,0.514084507,0.89793832,0.85284985,4
56,56,09/10/2015 22:00,0.339158576,0.457746479,0.570284546,0.527261723,2
57,57,06/10/2015 15:00,0.823624595,0.572769953,0.847844607,0.828759013,4
58,58,06/10/2015 09:00,0.851132686,0.692488263,0.603680354,0.653412978,3
59,59,09/10/2015 03:00,0.002265372,0.009389671,0.019424093,0.014433451,1
60,60,08/10/2015 15:00,0.650485437,0.615023474,0.808826035,0.773551392,3
61,61,08/10/2015 23:00,0.19579288,0.230046948,0.382688703,0.342495132,2
62,62,05/10/2015 08:00,0.500647249,0.514084507,0.421196115,0.442503026,2
63,63,10/10/2015 08:00,0.977022654,1,0.896575226,0.922464607,4
64,64,04/10/2015 05:00,0.05631068,0.018779343,0.001703868,0.010223146,1
65,65,05/10/2015 17:00,0.752427184,0.603286385,0.834724825,0.809273196,4
66,66,07/10/2015 14:00,0.891262136,0.76056338,0.901346056,0.894755539,4
67,67,04/10/2015 06:00,0.163754045,0.084507042,0.044300562,0.065378138,1
68,68,04/10/2015 14:00,0.715533981,0.643192488,0.692622253,0.696450187,3
69,69,05/10/2015 22:00,0.327831715,0.32629108,0.591412506,0.532156202,2
70,70,07/10/2015 03:00,0.007443366,0.009389671,0.048560232,0.037774328,1
71,71,10/10/2015 15:00,0.682524272,0.809859155,0.890952462,0.85637598,4
72,72,09/10/2015 04:00,0,0.002347418,0.001874255,0,1
73,73,06/10/2015 16:00,0.796440129,0.654929577,0.837791787,0.82256197,4
74,74,08/10/2015 12:00,0.555987055,0.525821596,0.722610325,0.685108678,3
75,75,07/10/2015 02:00,0.042071197,0.044600939,0.073777475,0.065443924,1
76,76,04/10/2015 04:00,0.00420712,0.007042254,0.00528199,0.003657702,1
77,77,05/10/2015 21:00,0.429773463,0.34741784,0.570625319,0.534221883,2
78,78,04/10/2015 09:00,0.750485437,0.561032864,0.535014483,0.57444345,2
79,79,07/10/2015 05:00,0.062135922,0.016431925,0.016357131,0.022314615,1
80,80,09/10/2015 01:00,0.063430421,0.070422535,0.142443346,0.12382243,2
81,81,04/10/2015 22:00,0.327184466,0.328638498,0.518827739,0.476172307,2
82,82,08/10/2015 07:00,0.460517799,0.647887324,0.342988584,0.385334982,2
83,83,10/10/2015 01:00,0.070550162,0.11971831,0.136650196,0.124098732,2
84,84,08/10/2015 01:00,0.080906149,0.08685446,0.146532629,0.13101942,2
85,85,10/10/2015 13:00,0.727508091,0.631455399,0.737263588,0.732014105,3
86,86,04/10/2015 23:00,0.225242718,0.215962441,0.368887374,0.335600758,2
87,87,05/10/2015 04:00,0.003236246,0.025821596,0.004089283,0.003947161,1
88,88,10/10/2015 18:00,1,0.802816901,0.812233771,0.846705437,4
89,89,05/10/2015 00:00,0.159546926,0.107981221,0.219628557,0.201792011,2
90,90,07/10/2015 17:00,0.843365696,0.922535211,0.830805929,0.844297669,4
91,91,07/10/2015 15:00,0.927831715,0.812206573,0.894871358,0.899465818,4
92,92,04/10/2015 08:00,0.615533981,0.448356808,0.38762992,0.430477343,2
93,93,04/10/2015 19:00,0.496763754,0.370892019,0.682399046,0.63313773,3
94,94,08/10/2015 02:00,0.023624595,0.037558685,0.069177032,0.058378506,1
95,95,06/10/2015 10:00,0.94433657,0.713615023,0.752087238,0.7847087,4
96,96,06/10/2015 06:00,0.163754045,0.082159624,0.035270063,0.058233777,1
97,97,10/10/2015 11:00,0.796763754,0.629107981,0.802692111,0.793629283,4
98,98,08/10/2015 19:00,0.803559871,0.443661972,0.780371443,0.763986106,3
99,99,06/10/2015 03:00,0.011003236,0.011737089,0.039018572,0.031156255,1
100,100,08/10/2015 08:00,0.993203883,0.931924883,1,1,4
101,101,06/10/2015 01:00,0.07961165,0.079812207,0.132390526,0.119375296,2
102,102,07/10/2015 18:00,0.878964401,0.906103286,0.764014312,0.797313299,4
103,103,07/10/2015 00:00,0.153398058,0.129107981,0.249787017,0.225619704,2
104,104,08/10/2015 05:00,0.058576052,0.023474178,0,0.009617915,1
105,105,10/10/2015 10:00,0.882524272,0.84741784,0.853978531,0.863086153,4
106,106,11/10/2015 00:00,0.164401294,0.164319249,0.264781053,0.241553076,2
107,107,05/10/2015 11:00,0.588349515,0.546948357,0.702163912,0.676122309,3
108,108,07/10/2015 06:00,0.170550162,0.058685446,0.039700119,0.061049418,1
109,109,08/10/2015 00:00,0.142718447,0.105633803,0.258817516,0.229145834,2
110,110,10/10/2015 20:00,0.527831715,0.415492958,0.638780031,0.607757486,3
111,111,04/10/2015 12:00,0.646601942,0.5,0.621059806,0.61954634,3
