,0.1,timestamp,Qmc,Qhv,Qlv,Qmv,Level
0,0,06/10/2015 11:00,0.839661123,0.453177258,0.797239734,0.801365718,4
1,1,06/10/2015 23:00,0.228741763,0.158862876,0.379110581,0.345916004,2
2,2,09/10/2015 08:00,1,0.690635452,0.950417448,0.970830483,4
3,3,07/10/2015 22:00,0.318167556,0.247491639,0.514056909,0.474185569,2
4,4,05/10/2015 19:00,0.586444933,0.319397993,0.787357301,0.737579601,3
5,5,05/10/2015 21:00,0.416692815,0.245819398,0.570625319,0.534221883,2
6,6,10/10/2015 16:00,0.733919046,1,0.90799114,0.92508289,4
7,7,08/10/2015 12:00,0.539064951,0.372909699,0.722610325,0.685108678,3
8,8,05/10/2015 18:00,0.737056793,0.364548495,0.89793832,0.85284985,4
9,9,06/10/2015 08:00,0.69218701,0.424749164,0.526835918,0.564917636,2
10,10,05/10/2015 08:00,0.485409476,0.364548495,0.421196115,0.442503026,2
11,11,06/10/2015 18:00,0.847819266,0.356187291,0.754472653,0.759788958,3
12,12,05/10/2015 02:00,0.030749922,0.026755853,0.048219458,0.043681911,1
13,13,08/10/2015 11:00,0.707248196,0.421404682,0.754131879,0.74261881,3
14,14,09/10/2015 02:00,0.038280515,0.016722408,0.067984324,0.059181096,1
15,15,05/10/2015 12:00,0.463131472,0.339464883,0.691429545,0.644873954,3
16,16,09/10/2015 01:00,0.061499843,0.048494983,0.142443346,0.12382243,2
17,17,07/10/2015 15:00,0.899592093,0.576923077,0.894871358,0.899465818,4
18,18,08/10/2015 22:00,0.30310637,0.279264214,0.527347078,0.485171833,2
19,19,04/10/2015 17:00,0.691245686,0.483277592,0.896064065,0.855862849,4
20,20,07/10/2015 11:00,0.811421399,0.392976589,0.813596865,0.803102468,4
21,21,08/10/2015 02:00,0.022905554,0.025083612,0.069177032,0.058378506,1
22,22,06/10/2015 10:00,0.915594603,0.506688963,0.752087238,0.7847087,3
23,23,10/10/2015 17:00,0.951992469,0.663879599,0.924177884,0.939779485,4
24,24,09/10/2015 04:00,0,0,0.001874255,0,1
25,25,06/10/2015 02:00,0.02196423,0.02173913,0.07667405,0.063667702,1
26,26,04/10/2015 19:00,0.481644179,0.262541806,0.682399046,0.63313773,3
27,27,04/10/2015 16:00,0.472858488,0.443143813,0.789913103,0.733158781,3
28,28,10/10/2015 13:00,0.705365548,0.448160535,0.737263588,0.732014105,3
29,29,05/10/2015 20:00,0.516159398,0.311036789,0.623445221,0.598363244,2
30,30,08/10/2015 10:00,0.741135864,0.491638796,0.800817857,0.791537288,3
31,31,08/10/2015 00:00,0.138374647,0.073578595,0.258817516,0.229145834,2
32,32,09/10/2015 16:00,0.833071854,0.533444816,0.919577441,0.902939319,4
33,33,09/10/2015 19:00,0.677439598,0.443143813,0.833020958,0.800760486,4
34,34,06/10/2015 21:00,0.396297458,0.247491639,0.636224229,0.581627283,2
35,35,05/10/2015 14:00,0.750549106,0.403010033,0.741693645,0.738395348,3
36,36,06/10/2015 20:00,0.484781927,0.304347826,0.63298688,0.599784222,3
37,37,06/10/2015 01:00,0.077188579,0.055183946,0.132390526,0.119375296,2
38,38,10/10/2015 20:00,0.511766552,0.294314381,0.638780031,0.607757486,3
39,39,09/10/2015 21:00,0.39974898,0.280936455,0.746634861,0.670885743,3
40,40,10/10/2015 11:00,0.772513335,0.446488294,0.802692111,0.793629283,4
41,41,06/10/2015 09:00,0.825227487,0.491638796,0.603680354,0.653412978,3
42,42,04/10/2015 15:00,0.649513649,0.406354515,0.772192878,0.74534235,3
43,43,08/10/2015 16:00,0.684970191,0.443143813,0.845118419,0.811365191,4
44,44,09/10/2015 23:00,0.229683088,0.165551839,0.395467712,0.35938898,2
45,45,10/10/2015 21:00,0.475368685,0.29264214,0.607258477,0.577140677,2
46,46,09/10/2015 07:00,0.671477879,0.451505017,0.324757199,0.408136414,2
47,47,08/10/2015 18:00,0.751804205,0.511705686,0.709831317,0.725119731,3
48,48,07/10/2015 18:00,0.852212112,0.643812709,0.764014312,0.797313299,4
49,49,10/10/2015 22:00,0.371509256,0.301003344,0.632646107,0.580179991,2
50,50,06/10/2015 12:00,0.679008472,0.381270903,0.7345374,0.718646387,3
51,51,06/10/2015 00:00,0.144336366,0.071906355,0.247060828,0.220896269,2
52,52,07/10/2015 09:00,0.852525886,0.506688963,0.656670642,0.700449976,3
53,53,08/10/2015 20:00,0.515845623,0.284280936,0.722780712,0.672280406,3
54,54,09/10/2015 11:00,0.860684029,0.47993311,0.80115863,0.810654702,4
55,55,08/10/2015 08:00,0.962974584,0.662207358,1,1,4
56,56,06/10/2015 05:00,0.053341701,0.02173913,0.013630942,0.020248934,1
57,57,06/10/2015 15:00,0.798556636,0.406354515,0.847844607,0.828759013,4
58,58,09/10/2015 13:00,0.74615626,0.47826087,0.79110581,0.783511394,3
59,59,07/10/2015 19:00,0.748038908,0.391304348,0.859601295,0.827824851,4
60,60,08/10/2015 05:00,0.056793222,0.015050167,0,0.009617915,1
61,61,07/10/2015 14:00,0.864135551,0.540133779,0.901346056,0.894755539,4
62,62,04/10/2015 21:00,0.411672419,0.235785953,0.570454933,0.532221988,2
63,63,07/10/2015 16:00,0.836209602,0.677257525,0.754131879,0.790418925,3
64,64,08/10/2015 15:00,0.630687167,0.436454849,0.808826035,0.773551392,3
65,65,05/10/2015 04:00,0.003137747,0.016722408,0.004089283,0.003947161,1
66,66,05/10/2015 03:00,0.009727016,0.008361204,0.024194922,0.019722646,1
67,67,10/10/2015 23:00,0.278945717,0.168896321,0.441301755,0.403386664,2
68,68,07/10/2015 20:00,0.705365548,0.361204013,0.72925541,0.716935951,3
69,69,07/10/2015 05:00,0.060244744,0.010033445,0.016357131,0.022314615,1
70,70,04/10/2015 05:00,0.054596799,0.011705686,0.001703868,0.010223146,1
71,71,10/10/2015 15:00,0.661750863,0.575250836,0.890952462,0.85637598,4
72,72,09/10/2015 17:00,0.872293693,0.581939799,0.942409269,0.932108836,4
73,73,09/10/2015 18:00,0.953247568,0.523411371,0.867439087,0.881808852,4
74,74,04/10/2015 11:00,0.796673988,0.41638796,0.69858579,0.71421241,3
75,75,05/10/2015 00:00,0.154690932,0.075250836,0.219628557,0.201792011,2
76,76,10/10/2015 19:00,0.63288359,0.306020067,0.767081274,0.728343245,3
77,77,09/10/2015 20:00,0.485723251,0.384615385,0.619696712,0.597889585,2
78,78,04/10/2015 03:00,0.001255099,0.005016722,0.020787187,0.015328141,1
79,79,09/10/2015 06:00,0.180420458,0.060200669,0.039700119,0.065628125,1
80,80,10/10/2015 06:00,0.18387198,0.066889632,0.032032714,0.060970475,1
81,81,10/10/2015 04:00,0.008785692,0,0.001874255,0.001473607,1
82,82,10/10/2015 02:00,0.033887669,0.048494983,0.068836258,0.062351981,1
83,83,08/10/2015 03:00,0,0.028428094,0.017890612,0.015275512,1
84,84,10/10/2015 14:00,0.916222152,0.494983278,0.82654626,0.841113626,4
85,85,07/10/2015 13:00,0.572638845,0.508361204,0.846140739,0.799984211,4
86,86,09/10/2015 14:00,0.910574208,0.47993311,0.837791787,0.847310668,4
87,87,04/10/2015 23:00,0.218387198,0.152173913,0.368887374,0.335600758,2
88,88,10/10/2015 08:00,0.947285849,0.710702341,0.896575226,0.922464607,4
89,89,05/10/2015 06:00,0.139002196,0.040133779,0.026750724,0.046629125,1
90,90,06/10/2015 13:00,0.663005962,0.483277592,0.721758392,0.716528077,3
91,91,09/10/2015 00:00,0.128333856,0.091973244,0.225762481,0.20381822,2
92,92,04/10/2015 02:00,0.01663006,0.02173913,0.054353382,0.045537077,1
93,93,06/10/2015 07:00,0.424537182,0.264214047,0.167490203,0.226119678,2
94,94,08/10/2015 21:00,0.441167242,0.337792642,0.494632816,0.489053208,2
95,95,04/10/2015 14:00,0.693755883,0.456521739,0.692622253,0.696450187,3
96,96,10/10/2015 09:00,0.88139316,0.617056856,0.962003749,0.952357771,4
97,97,06/10/2015 06:00,0.158770003,0.056856187,0.035270063,0.058233777,1
98,98,08/10/2015 14:00,0.700972702,0.424749164,0.799795536,0.777169623,3
99,99,04/10/2015 13:00,0.595544399,0.431438127,0.603680354,0.608731119,3
100,100,07/10/2015 06:00,0.165359272,0.040133779,0.039700119,0.061049418,1
101,101,05/10/2015 11:00,0.570442422,0.387959866,0.702163912,0.676122309,3
102,102,05/10/2015 05:00,0.050203954,0,0.007667405,0.012894058,1
103,103,05/10/2015 15:00,0.743018513,0.52173913,0.801329017,0.795326562,4
104,104,05/10/2015 13:00,0.530906809,0.404682274,0.595842563,0.589100574,2
105,105,07/10/2015 02:00,0.040790712,0.030100334,0.073777475,0.065443924,1
106,106,08/10/2015 04:00,0.002510198,0.008361204,0.008178565,0.006144413,1
107,107,08/10/2015 07:00,0.446501412,0.459866221,0.342988584,0.385334982,2
108,108,10/10/2015 07:00,0.640100408,0.391304348,0.263077185,0.34908689,2
109,109,04/10/2015 10:00,0.847819266,0.446488294,0.663486113,0.698765854,3
110,110,04/10/2015 09:00,0.727643552,0.397993311,0.535014483,0.57444345,2
111,111,04/10/2015 18:00,0.651396297,0.424749164,0.879366161,0.830298405,4
112,112,09/10/2015 03:00,0.002196423,0.005016722,0.019424093,0.014433451,1
113,113,09/10/2015 05:00,0.068402887,0.008361204,0.008348952,0.017328035,1
114,114,06/10/2015 03:00,0.01066834,0.006688963,0.039018572,0.031156255,1
115,115,04/10/2015 06:00,0.158770003,0.058528428,0.044300562,0.065378138,1
116,116,07/10/2015 04:00,0.011923439,0.008361204,0.017549838,0.014959739,1
117,117,06/10/2015 04:00,0.001568874,0.011705686,0.004600443,0.003565602,1
118,118,07/10/2015 17:00,0.817696894,0.655518395,0.830805929,0.844297669,4
119,119,05/10/2015 09:00,0.393473486,0.404682274,0.550690066,0.531182569,2
120,120,09/10/2015 22:00,0.328835896,0.324414716,0.570284546,0.527261723,2
121,121,04/10/2015 04:00,0.004079071,0.003344482,0.00528199,0.003657702,1
122,122,06/10/2015 16:00,0.772199561,0.464882943,0.837791787,0.82256197,4
123,123,09/10/2015 09:00,0.857232507,0.652173913,0.756006134,0.792826693,4
124,124,04/10/2015 01:00,0.080012551,0.051839465,0.093201568,0.089245303,2
125,125,07/10/2015 23:00,0.222780044,0.105351171,0.381666383,0.341416241,2
