,timestamp,Qlv,Qhv,Qmc,Qmv,Label
0,04/10/2015 01:00,970,52,164,1186,A
1,04/10/2015 02:00,742,28.6,83.2,853.8,A
2,04/10/2015 03:00,545,15.6,63.6,624.2,A
3,04/10/2015 04:00,454,14.3,67.2,535.5,A
4,04/10/2015 05:00,433,20.8,131.6,585.4,A
5,04/10/2015 06:00,683,57.2,264.4,1004.6,A
6,04/10/2015 07:00,1345,179.4,566,2090.4,B
7,04/10/2015 08:00,2698,258.7,822.8,3779.5,B
8,04/10/2015 09:00,3563,321.1,989.6,4873.7,B
9,04/10/2015 10:00,4317,358.8,1142.8,5818.6,C
10,04/10/2015 11:00,4523,335.4,1077.6,5936,C
11,04/10/2015 12:00,4068,287.3,861.2,5216.5,C
12,04/10/2015 13:00,3966,347.1,821.2,5134.3,C
13,04/10/2015 14:00,4488,366.6,946.4,5801,C
14,04/10/2015 15:00,4955,327.6,890,6172.6,C
15,04/10/2015 16:00,5059,356.2,664.8,6080,C
16,04/10/2015 17:00,5682,387.4,943.2,7012.6,D
17,04/10/2015 18:00,5584,341.9,892.4,6818.3,D
18,04/10/2015 19:00,4428,215.8,676,5319.8,C
19,04/10/2015 20:00,3687,248.3,631.6,4566.9,B
20,04/10/2015 21:00,3771,195,586.8,4552.8,B
21,04/10/2015 22:00,3468,192.4,466.4,4126.8,B
22,04/10/2015 23:00,2588,130,340.4,3058.4,B
23,05/10/2015 00:00,1712,70.2,259.2,2041.4,B
24,05/10/2015 01:00,1099,48.1,139.6,1286.7,A
25,05/10/2015 02:00,706,32.5,101.2,839.7,A
26,05/10/2015 03:00,565,18.2,74.4,657.6,A
27,05/10/2015 04:00,447,24.7,66,537.7,A
28,05/10/2015 05:00,468,11.7,126,605.7,A
29,05/10/2015 06:00,580,42.9,239.2,862.1,A
30,05/10/2015 07:00,1305,227.5,607.6,2140.1,B
31,05/10/2015 08:00,2895,295.1,680.8,3870.9,B
32,05/10/2015 09:00,3655,326.3,563.6,4544.9,B
33,05/10/2015 10:00,4285,351,912.4,5548.4,C
34,05/10/2015 11:00,4544,313.3,789.2,5646.5,C
35,05/10/2015 12:00,4481,275.6,652.4,5409,C
36,05/10/2015 13:00,3920,326.3,738.8,4985.1,B
37,05/10/2015 14:00,4776,325,1018.8,6119.8,C
38,05/10/2015 15:00,5126,417.3,1009.2,6552.5,D
39,05/10/2015 16:00,4710,289.9,924,5923.9,C
40,05/10/2015 17:00,5322,344.5,992,6658.5,D
41,05/10/2015 18:00,5693,295.1,1001.6,6989.7,D
42,05/10/2015 19:00,5044,260,809.6,6113.6,C
43,05/10/2015 20:00,4082,253.5,720,5055.5,C
44,05/10/2015 21:00,3772,202.8,593.2,4568,B
45,05/10/2015 22:00,3894,191.1,467.2,4552.3,B
46,05/10/2015 23:00,2696,100.1,350.8,3146.9,B
47,06/10/2015 00:00,1873,67.6,246,2186.6,B
48,06/10/2015 01:00,1200,54.6,160.4,1415,A
49,06/10/2015 02:00,873,28.6,90,991.6,A
50,06/10/2015 03:00,652,16.9,75.6,744.5,A
51,06/10/2015 04:00,450,20.8,64,534.8,A
52,06/10/2015 05:00,503,28.6,130,661.6,A
53,06/10/2015 06:00,630,55.9,264.4,950.3,A
54,06/10/2015 07:00,1406,217.1,603.2,2226.3,B
55,06/10/2015 08:00,3515,341.9,944.4,4801.3,B
56,06/10/2015 09:00,3966,393.9,1114,5473.9,C
57,06/10/2015 10:00,4837,405.6,1229.2,6471.8,D
58,06/10/2015 11:00,5102,364,1132.4,6598.4,D
59,06/10/2015 12:00,4734,308.1,927.6,5969.7,C
60,06/10/2015 13:00,4659,387.4,907.2,5953.6,C
61,06/10/2015 14:00,4958,351,998.8,6307.8,C
62,06/10/2015 15:00,5399,327.6,1080,6806.6,D
63,06/10/2015 16:00,5340,373.1,1046.4,6759.5,D
64,06/10/2015 17:00,5278,384.8,952.4,6615.2,D
65,06/10/2015 18:00,4851,288.6,1142.8,6282.4,C
66,06/10/2015 19:00,5152,244.4,829.2,6225.6,C
