,timestamp
0,06/10/2015 11:00
1,06/10/2015 23:00
2,09/10/2015 08:00
3,07/10/2015 22:00
4,05/10/2015 19:00
5,05/10/2015 21:00
6,10/10/2015 16:00
7,08/10/2015 12:00
8,05/10/2015 18:00
9,06/10/2015 08:00
10,05/10/2015 08:00
11,06/10/2015 18:00
12,05/10/2015 02:00
13,08/10/2015 11:00
14,09/10/2015 02:00
15,05/10/2015 12:00
16,09/10/2015 01:00
17,07/10/2015 15:00
18,08/10/2015 22:00
19,04/10/2015 17:00
20,07/10/2015 11:00
21,08/10/2015 02:00
22,06/10/2015 10:00
23,10/10/2015 17:00
24,09/10/2015 04:00
25,06/10/2015 02:00
26,04/10/2015 19:00
27,04/10/2015 16:00
28,10/10/2015 13:00
29,05/10/2015 20:00
30,08/10/2015 10:00
31,08/10/2015 00:00
32,09/10/2015 16:00
33,09/10/2015 19:00
34,06/10/2015 21:00
35,05/10/2015 14:00
36,06/10/2015 20:00
37,06/10/2015 01:00
38,10/10/2015 20:00
39,09/10/2015 21:00
40,10/10/2015 11:00
41,06/10/2015 09:00
42,04/10/2015 15:00
43,08/10/2015 16:00
44,09/10/2015 23:00
45,10/10/2015 21:00
46,09/10/2015 07:00
47,08/10/2015 18:00
48,07/10/2015 18:00
49,10/10/2015 22:00
50,06/10/2015 12:00
51,06/10/2015 00:00
52,07/10/2015 09:00
53,08/10/2015 20:00
54,09/10/2015 11:00
55,08/10/2015 08:00
56,06/10/2015 05:00
57,06/10/2015 15:00
58,09/10/2015 13:00
59,07/10/2015 19:00
60,08/10/2015 05:00
61,07/10/2015 14:00
62,04/10/2015 21:00
63,07/10/2015 16:00
64,08/10/2015 15:00
65,05/10/2015 04:00
66,05/10/2015 03:00
67,10/10/2015 23:00
68,07/10/2015 20:00
69,07/10/2015 05:00
70,04/10/2015 05:00
71,10/10/2015 15:00
72,09/10/2015 17:00
73,09/10/2015 18:00
74,04/10/2015 11:00
75,05/10/2015 00:00
76,10/10/2015 19:00
77,09/10/2015 20:00
78,04/10/2015 03:00
79,09/10/2015 06:00
80,10/10/2015 06:00
81,10/10/2015 04:00
82,10/10/2015 02:00
83,08/10/2015 03:00
84,10/10/2015 14:00
85,07/10/2015 13:00
86,09/10/2015 14:00
87,04/10/2015 23:00
88,10/10/2015 08:00
89,05/10/2015 06:00
90,06/10/2015 13:00
91,09/10/2015 00:00
92,04/10/2015 02:00
93,06/10/2015 07:00
94,08/10/2015 21:00
95,04/10/2015 14:00
96,10/10/2015 09:00
97,06/10/2015 06:00
98,08/10/2015 14:00
99,04/10/2015 13:00
100,07/10/2015 06:00
101,05/10/2015 11:00
102,05/10/2015 05:00
103,05/10/2015 15:00
104,05/10/2015 13:00
105,07/10/2015 02:00
106,08/10/2015 04:00
107,08/10/2015 07:00
108,10/10/2015 07:00
109,04/10/2015 10:00
110,04/10/2015 09:00
111,04/10/2015 18:00
112,09/10/2015 03:00
113,09/10/2015 05:00
114,06/10/2015 03:00
115,04/10/2015 06:00
116,07/10/2015 04:00
117,06/10/2015 04:00
118,07/10/2015 17:00
119,05/10/2015 09:00
120,09/10/2015 22:00
121,04/10/2015 04:00
122,06/10/2015 16:00
123,09/10/2015 09:00
124,04/10/2015 01:00
125,07/10/2015 23:00
