,Label,Qlv_disc,Qmc_disc,Qhv_disc,Qmv_disc,Kesimpulan,,
4,a,0,0,0,0,no,,1
5,a,0,0,0,0,no,,2
9,a,0,0,0,0,no,,3
10,a,0,1,0,0,no,,4
18,a,0,0,0,0,no,,5
19,a,0,0,0,0,no,,6
29,a,0,0,0,0,no,,7
38,a,0,0,0,0,no,,8
42,a,0,1,0,0,no,,9
44,a,0,1,0,0,no,,10
51,a,0,0,0,0,no,,11
55,a,0,0,0,0,no,,12
57,a,0,1,0,0,no,,13
64,a,0,0,0,0,no,,14
68,a,0,0,0,0,no,,15
76,a,0,1,1,0,no,,16
77,a,0,0,1,0,no,,17
78,a,0,1,0,0,no,,18
88,a,0,0,0,0,no,,19
89,a,0,0,0,0,no,,20
92,a,0,0,0,0,no,,21
93,a,0,0,0,0,no,,22
95,a,0,0,0,0,no,,23
97,a,0,0,0,0,no,,24
101,a,0,0,0,0,no,,25
102,a,0,0,0,0,no,,26
103,a,0,0,0,0,no,,27
109,a,0,0,0,0,no,,28
113,a,0,0,0,0,no,,29
115,a,0,0,0,0,no,,30
123,a,0,0,0,0,no,,31
12,b,1,2,2,1,no,,32
13,b,1,1,2,1,no,,33
16,b,1,1,1,1,no,,34
20,b,1,1,1,1,no,,35
28,b,2,2,2,1,no,,36
31,b,1,1,1,1,no,,37
33,b,1,1,1,1,no,,38
35,b,2,1,1,1,no,,39
36,b,1,1,2,1,no,,40
37,b,1,1,1,1,no,,41
40,b,1,1,1,1,no,,42
41,b,1,1,1,1,no,,43
46,b,2,1,2,1,no,,44
47,b,2,1,1,1,no,,45
48,b,1,2,2,1,no,,46
50,b,1,1,2,1,no,,47
54,b,0,1,1,1,no,,48
58,b,1,1,1,1,no,,49
65,b,1,1,1,1,no,,50
71,b,1,2,2,1,no,,51
72,b,1,1,3,1,no,,52
74,b,2,2,1,1,no,,53
80,b,1,2,2,1,no,,54
81,b,1,2,1,1,no,,55
82,b,1,1,1,1,no,,56
90,b,1,1,1,1,no,,57
94,b,1,1,1,1,no,,58
104,b,2,2,2,1,no,,59
108,b,1,1,1,1,no,,60
114,b,1,1,1,1,no,,61
117,b,1,1,1,1,no,,62
118,b,1,1,1,1,no,,63
1,c,2,2,3,2,yes,,64
8,c,2,3,2,2,yes,,65
11,c,2,2,2,2,yes,,66
15,c,2,2,2,2,yes,,67
17,c,2,2,3,2,yes,,68
21,c,2,3,3,2,yes,,69
22,c,2,2,2,2,yes,,70
24,c,2,2,1,2,yes,,71
25,c,2,2,2,2,yes,,72
39,c,2,2,2,2,yes,,73
43,c,2,3,2,2,yes,,74
56,c,2,2,2,2,yes,,75
59,c,2,2,2,2,yes,,76
60,c,2,3,3,2,yes,,77
62,c,2,2,2,2,yes,,78
63,c,2,2,2,2,yes,,79
67,c,2,2,2,2,yes,,80
69,c,2,2,2,2,yes,,81
70,c,2,2,2,2,yes,,82
73,c,2,2,3,2,yes,,83
83,c,2,2,3,2,yes,,84
86,c,2,3,3,2,yes,,85
96,c,3,2,2,2,yes,,86
98,c,2,3,3,2,yes,,87
105,c,2,2,3,2,yes,,88
110,c,2,3,3,2,yes,,89
111,c,2,2,2,2,yes,,90
112,c,2,2,2,2,yes,,91
116,c,2,2,3,2,yes,,92
124,c,2,3,3,2,yes,,93
125,c,2,1,2,2,yes,,94
126,c,2,2,3,2,yes,,95
2,d,3,3,3,3,yes,,96
3,d,3,3,3,3,yes,,97
6,d,2,3,3,3,yes,,98
7,d,3,3,3,3,yes,,99
14,d,2,3,3,3,yes,,100
23,d,3,3,3,3,yes,,101
26,d,3,3,3,3,yes,,102
27,d,3,2,3,3,yes,,103
30,d,3,2,3,3,yes,,104
32,d,3,3,3,3,yes,,105
34,d,2,3,3,3,yes,,106
45,d,3,3,3,3,yes,,107
49,d,3,2,3,3,yes,,108
52,d,3,3,3,3,yes,,109
53,d,3,3,3,3,yes,,110
61,d,3,2,3,3,yes,,111
66,d,3,3,3,3,yes,,112
75,d,3,3,2,3,yes,,113
79,d,3,3,3,3,yes,,114
84,d,3,3,3,3,yes,,115
85,d,3,3,3,3,yes,,116
87,d,3,3,3,3,yes,,117
91,d,3,3,3,3,yes,,118
99,d,3,3,2,3,yes,,119
100,d,3,3,3,3,yes,,120
106,d,3,3,3,3,yes,,121
107,d,3,2,3,3,yes,,122
119,d,3,3,2,3,yes,,123
120,d,3,3,3,3,yes,,124
121,d,3,3,3,3,yes,,125
122,d,2,3,3,3,yes,,126
